gain	1	81	-98.42
gain	81	1	-103.76
gain	1	82	-99.90
gain	82	1	-98.72
gain	1	83	-100.85
gain	83	1	-95.41
gain	1	84	-98.41
gain	84	1	-103.73
gain	1	85	-103.12
gain	85	1	-106.26
gain	1	86	-104.36
gain	86	1	-103.06
gain	1	87	-98.93
gain	87	1	-104.16
gain	1	88	-98.80
gain	88	1	-108.43
gain	1	89	-101.98
gain	89	1	-107.04
gain	1	90	-97.78
gain	90	1	-101.00
gain	1	91	-94.99
gain	91	1	-99.04
gain	1	92	-100.82
gain	92	1	-102.26
gain	1	93	-101.80
gain	93	1	-109.10
gain	1	94	-98.45
gain	94	1	-104.75
gain	1	95	-104.04
gain	95	1	-104.32
gain	1	96	-104.15
gain	96	1	-107.89
gain	1	97	-104.63
gain	97	1	-101.48
gain	1	98	-111.56
gain	98	1	-111.86
gain	1	99	-101.58
gain	99	1	-106.71
gain	2	3	-66.43
gain	3	2	-74.52
gain	2	4	-80.16
gain	4	2	-82.77
gain	2	5	-83.14
gain	5	2	-88.83
gain	2	6	-93.82
gain	6	2	-93.76
gain	2	7	-96.22
gain	7	2	-95.83
gain	2	8	-92.60
gain	8	2	-100.81
gain	2	9	-97.39
gain	9	2	-99.14
gain	2	10	-81.20
gain	10	2	-86.16
gain	2	11	-73.08
gain	11	2	-81.88
gain	2	12	-66.77
gain	12	2	-67.35
gain	2	13	-73.58
gain	13	2	-75.21
gain	2	14	-89.50
gain	14	2	-84.76
gain	2	15	-90.41
gain	15	2	-93.10
gain	2	16	-86.74
gain	16	2	-90.44
gain	2	17	-95.62
gain	17	2	-97.77
gain	2	18	-92.96
gain	18	2	-92.46
gain	2	19	-96.82
gain	19	2	-101.11
gain	2	20	-90.02
gain	20	2	-88.38
gain	2	21	-85.98
gain	21	2	-83.52
gain	2	22	-85.12
gain	22	2	-87.64
gain	2	23	-83.63
gain	23	2	-81.83
gain	2	24	-86.21
gain	24	2	-85.37
gain	2	25	-89.30
gain	25	2	-91.84
gain	2	26	-99.33
gain	26	2	-92.47
gain	2	27	-93.55
gain	27	2	-100.55
gain	2	28	-100.03
gain	28	2	-102.14
gain	2	29	-98.99
gain	29	2	-103.25
gain	2	30	-94.03
gain	30	2	-91.91
gain	2	31	-89.57
gain	31	2	-90.26
gain	2	32	-92.30
gain	32	2	-86.71
gain	2	33	-94.99
gain	33	2	-97.70
gain	2	34	-87.06
gain	34	2	-90.52
gain	2	35	-91.78
gain	35	2	-94.02
gain	2	36	-96.53
gain	36	2	-91.11
gain	2	37	-97.05
gain	37	2	-97.41
gain	2	38	-91.63
gain	38	2	-99.68
gain	2	39	-93.29
gain	39	2	-102.79
gain	2	40	-87.64
gain	40	2	-96.54
gain	2	41	-86.35
gain	41	2	-94.36
gain	2	42	-97.67
gain	42	2	-100.80
gain	2	43	-93.01
gain	43	2	-90.33
gain	2	44	-90.16
gain	44	2	-94.11
gain	2	45	-91.72
gain	45	2	-97.00
gain	2	46	-98.47
gain	46	2	-98.57
gain	2	47	-93.23
gain	47	2	-98.66
gain	2	48	-90.72
gain	48	2	-93.01
gain	2	49	-97.19
gain	49	2	-104.33
gain	2	50	-90.49
gain	50	2	-99.40
gain	2	51	-97.29
gain	51	2	-98.25
gain	2	52	-93.02
gain	52	2	-94.36
gain	2	53	-100.00
gain	53	2	-91.66
gain	2	54	-89.04
gain	54	2	-100.29
gain	2	55	-99.87
gain	55	2	-93.62
gain	2	56	-94.45
gain	56	2	-98.01
gain	2	57	-90.34
gain	57	2	-100.72
gain	2	58	-100.77
gain	58	2	-99.11
gain	2	59	-101.26
gain	59	2	-103.85
gain	2	60	-100.42
gain	60	2	-97.64
gain	2	61	-95.56
gain	61	2	-94.67
gain	2	62	-95.02
gain	62	2	-96.57
gain	2	63	-94.56
gain	63	2	-100.49
gain	2	64	-98.33
gain	64	2	-98.40
gain	2	65	-100.74
gain	65	2	-98.84
gain	2	66	-99.39
gain	66	2	-100.49
gain	2	67	-95.42
gain	67	2	-105.30
gain	2	68	-103.60
gain	68	2	-100.68
gain	2	69	-99.78
gain	69	2	-107.28
gain	2	70	-100.57
gain	70	2	-99.02
gain	2	71	-97.23
gain	71	2	-104.88
gain	2	72	-102.54
gain	72	2	-99.66
gain	2	73	-97.77
gain	73	2	-100.59
gain	2	74	-101.91
gain	74	2	-97.83
gain	2	75	-102.80
gain	75	2	-104.95
gain	2	76	-98.20
gain	76	2	-99.05
gain	2	77	-93.72
gain	77	2	-101.44
gain	2	78	-106.08
gain	78	2	-105.03
gain	2	79	-99.68
gain	79	2	-103.05
gain	2	80	-100.90
gain	80	2	-100.27
gain	2	81	-96.00
gain	81	2	-101.74
gain	2	82	-103.20
gain	82	2	-103.91
gain	2	83	-106.29
gain	83	2	-102.57
gain	2	84	-100.16
gain	84	2	-102.63
gain	2	85	-103.91
gain	85	2	-97.54
gain	2	86	-104.09
gain	86	2	-104.65
gain	2	87	-108.07
gain	87	2	-105.00
gain	2	88	-100.81
gain	88	2	-108.29
gain	2	89	-103.36
gain	89	2	-103.15
gain	2	90	-100.85
gain	90	2	-101.67
gain	2	91	-101.63
gain	91	2	-104.08
gain	2	92	-101.16
gain	92	2	-109.01
gain	2	93	-104.40
gain	93	2	-105.88
gain	2	94	-105.20
gain	94	2	-104.38
gain	2	95	-101.89
gain	95	2	-100.95
gain	2	96	-102.08
gain	96	2	-104.39
gain	2	97	-104.57
gain	97	2	-106.63
gain	2	98	-107.55
gain	98	2	-108.45
gain	2	99	-98.62
gain	99	2	-111.66
gain	3	4	-69.70
gain	4	3	-79.32
gain	3	5	-81.05
gain	5	3	-83.74
gain	3	6	-94.98
gain	6	3	-92.15
gain	3	7	-100.32
gain	7	3	-89.45
gain	3	8	-91.70
gain	8	3	-91.30
gain	3	9	-99.58
gain	9	3	-96.47
gain	3	10	-82.61
gain	10	3	-81.51
gain	3	11	-76.42
gain	11	3	-71.57
gain	3	12	-65.71
gain	12	3	-63.81
gain	3	13	-62.48
gain	13	3	-69.70
gain	3	14	-84.15
gain	14	3	-81.92
gain	3	15	-85.42
gain	15	3	-83.47
gain	3	16	-82.41
gain	16	3	-89.35
gain	3	17	-91.86
gain	17	3	-91.88
gain	3	18	-100.18
gain	18	3	-89.72
gain	3	19	-94.14
